idx1	idx2	sire	dam	sex	generation	k.grm	k.ped	ped.kin
22712.11	36	36	23774.1	23797.1	1	F39	0.5061944024	0.694871685221651	22711 22712 22713 30015 30018
22713.11	36	37	23774.1	23797.1	1	F39	0.07785255251	0.542701473203055	22711 22712 22713 29344
29344.1	36	181	22713.1	22768.1	2	F40	0.05238734711	0.470361092761329	22713 22768 29344 35307 35308 35309
30015.1	36	192	22712.1	25692.1	1	F40	0.06433574104	0.543530456339115	22712 25692 30015 30018 35304 35305
30018.1	36	194	22712.1	25692.1	2	F40	0.06540420259	0.543530456339115	22712 25692 30015 30018 35968 35969 35970
30485.11	36	269	25691.1	22711.1	1	F40	0.06024262351	0.468799704088263	22711 25691 30483 30484 30485
22711.12	37	35	23774.1	23797.1	2	F39	0.05239859881	0.542701473203055	22711 22712 22713 30483 30484 30485
22712.12	37	36	23774.1	23797.1	1	F39	0.07785255251	0.542701473203055	22711 22712 22713 30015 30018
22713.12	37	37	23774.1	23797.1	1	F39	0.6238819766	0.694871685221651	22711 22712 22713 29344
29344.11	37	181	22713.1	22768.1	2	F40	0.1203413649	0.546446198770627	22713 22768 29344 35307 35308 35309
30018.11	37	194	22712.1	25692.1	2	F40	0.06671274568	0.467445350329817	22712 25692 30015 30018 35968 35969 35970
31169.1	37	340	29345.1	30374.1	1	F41	0.05763151466	0.473599204375229	30374 31167 31168 31169 33751 33752 33753
35308.1	37	552	29341.1	29344.1	1	F41	0.05985728352	0.47082926307046	29341 29344 34453 34454 34455 35307 35308 35309
36443.1	37	686	33768.1	33876.1	1	F43	0.06445200965	0.4057002968954	33768 33876 36442 36443
22714.1	38	38	24481.1	24148.1	2	F39	0.506747932	0.696740852621059	22714 22715 22716
22715.1	38	39	24481.1	24148.1	2	F39	0.08401361328	0.543569702115227	22714 22715 22716
22716.1	38	40	24481.1	24148.1	1	F39	0.07706695189	0.543569702115227	22714 22715 22716 30009 30010 30017
22714.11	39	38	24481.1	24148.1	2	F39	0.08401361328	0.543569702115227	22714 22715 22716
22715.11	39	39	24481.1	24148.1	2	F39	0.5139834283	0.696740852621059	22714 22715 22716
